line_number,lyric_line
3975,"I'm not loving you, way I wanted to"
3976,"I bet no one knew, I got no one new"
3977,"Know I said I'm through, but got love for you"
3978,"But I'm not loving you, the way I wanted to"
3979,"Gotta keep it going, keep the loving going"
3980,"Keep it on the roll, only God knows"
3981,"If I be with you, baby I'm confused"
3982,"You choose, you choose"
3983,"I'm not loving you, way I wanted to"
3984,"Where I wanna go, I don't need you"
3985,"I've been down this road, too many times before"
3986,"I'm not loving you, way I wanted to"
3987,So keep your love lockdown—your love lockdown
3988,Keeping your love lockdown—your love lockdown
3989,Now keep your love lockdown—your love lockdown
3990,Now keep your love lockdown—you lose
3991,"You lose, you lose"
3992,She really thought that? (Yeah)
3993,"Yeah, she's so paranoid (Yeah, that's good, paranoid)"
3994,"Girls gonna love this song, ahaha"
3995,Why are you so paranoid? (Aha-ha-ha-ha-ha)
3996,"Don't be so paranoid, don't be so"
3997,"Baby, don't worry 'bout it"
3998,"Hey there, don't even think about it"
3999,"You worry 'bout the wrong things, the wrong things"
4000,Tell me right now
4001,You really wanna spend your whole life alone?
4002,A little time out might do you good
4003,Might do us good 'fore we be done for good
4004,"'Cause I could make it good, I could make it hood"
4005,"I could make you come, I could make you go"
4006,"I could make you high, I can make you fly"
4007,"Make you touch the sky, hey, maybe so"
4008,All of the time
4009,"You be up in mine checkin' through my cell phone, baby, no"
4010,You wanna kill the vibe on another night
4011,"Here's another fight, oh, here we go (Oh, here we go)"
4012,"Baby, don't worry about it"
4013,"Lady, we'll go out to the floor"
4014,"Anyway, they don't know you (They don't know) like I do"
4015,They'll never know you (Never know)
4016,"Anyway, they don't know you (Never know) like I do"
4017,They'll never know you
4018,All of the time
4019,You wanna complain about the nights alone
4020,"So now you're here with me, show some gratitude"
4021,Leave the attitude way back at home
4022,"Yeah, you see 'em look"
4023,"Baby, let 'em look, give ya cold looks 'cause we look cold"
4024,"Yeah, you heard about all the word of mouth"
4025,Don't worry about what we can't control
4026,All the talk in the world lost in the world
4027,'Til you finally let that thing go
4028,You wanna check into the heartbreak hotel
4029,"But sorry, we're closed"
4030,"Baby, don't worry about it"
4031,"Baby, we'll go out to the floor"
4032,Anyway (Hey) they don't know you (To the floor) like I do (Hey)
4033,They'll never know you (Never know)
4034,"Anyway, they don't know you (They don't know) like I do"
4035,They'll never know you
4036,"Baby, don't worry about it"
4037,"Lady, don't even think about it"
4038,"You worry 'bout the wrong things, the wrong things"
4039,"Anyway, they don't know you like I do"
4040,They'll never know you
4041,"Anyway, they don't know you like I do"
4042,They'll never know you
4043,"Anyway, they don't know you like I do"
4044,They'll never know you
4045,"Anyway, they don't know you like I do"
4046,They'll never know you
4047,'Bout the baddest girl I ever seen
4048,Straight up out a movie scene
4049,Who knew she was a drama queen
4050,That'd turn my life to Stephen King's?
4051,Up late night like she on patrol
4052,Checking everything like I'm on parole
4053,I told her there's some things she don't need to know
4054,"She never let it go, oh"
4055,"Okay, okay, okay, okay"
4056,You will never stop it now
4057,You never stop it now
4058,"Okay, okay, okay"
4059,You will never stop it now
4060,You need to drop it now
4061,"Drop it, drop it"
4062,'Cause I don't want no RoboCop
4063,You moving like a RoboCop
4064,When did you become a RoboCop?
4065,Now I don't need no RoboCop
4066,Just looking at your history
4067,You're like the girl from Misery
4068,She said she ain't take it to this degree
4069,Well let's agree to disagree
4070,Shorty kind of crazy but it turn me on
4071,Keep it up enough to keep it going on
4072,I told her there's some things she don't need to know
4073,"She never let it go, oh"
4074,"Okay, okay, okay, okay"
4075,You will never stop it now
4076,You never stop it now
4077,"Okay, okay, okay"
4078,You will never stop it now
4079,You need to drop it now
4080,"Drop it, drop it"
4081,'Cause I don't want no RoboCop
4082,You moving like a RoboCop
4083,When did you become a RoboCop?
4084,Somebody please make her stop
4085,"Stop, drop, roll, pop"
4086,"Bitch, I'm cold"
4087,"I ain't used to being told, ""Stop"""
4088,So I could never be your robot
4089,"Fast or slow, you can stay or can go"
4090,"Now, now that you know"
4091,Yeah I had her before but that happened before
4092,You get mad when you know so just don't ask me no more
4093,"Okay, okay, okay, uh, uh"
4094,"It ain't okay, okay, okay, uh"
4095,You spoiled little LA girl
4096,You're just an LA girl
4097,You spoiled little LA girl
4098,You're just an LA girl
4099,You spoiled little LA girl
4100,You're just an LA girl (You need to stop it now)
4101,You spoiled little LA girl
4102,You're just an LA girl (You need to stop it now)
4103,Oh you're kidding me
4104,You must be joking
4105,Or you are smoking
4106,Oh oh you're kidding me
4107,Oh you're kidding me
4108,"Haha, that was a good one"
4109,Your first good one in a while
4110,You need to stop it now
4111,Oh you need to stop it now
4112,Let me know
4113,Do I still got time to grow?
4114,Things ain't always set in stone
4115,That be known let me know
4116,Let me...
4117,"Seems like street lights, glowing, happen to be"
4118,"Just like moments, passing, in front of me"
4119,So I hopped in the cab and I paid my fare
4120,"See I know my destination, but I'm just not there"
4121,"All the street lights, glowing, happen to be"
4122,"Just like moments, passing, in front of me"
4123,So I hopped in the cab and I paid my fare
4124,"See I know my destination, but I'm just not there"
4125,In the streets
4126,I'm just not there in the streets
4127,I'm just not there
4128,Life's just not fair
4129,"Seems like street lights, glowing, happen to be"
4130,"Just like moments, passing, in front of me"
4131,So I hopped in the cab and I paid my fare
4132,"See I know my destination, but I'm just not there"
4133,"All the street lights, glowing, happen to be"
4134,"Just like moments, passing, in front of me"
4135,So I hopped in the cab and I paid my fare
4136,"See I know my destination, but I'm just not there"
4137,"All the street lights, glowing, happen to be"
4138,"Just like moments, passing, in front of me"
4139,So I hopped in the cab and I paid my fare
4140,"See I know my destination, but I'm just not there"
4141,In the streets
4142,I'm just not there in the streets
4143,I'm just not there
4144,Life's just not fair
4145,"Didn't you know, I was waiting on you"
4146,Waiting on a dream that'll never come true
4147,"Didn't you know, I was waiting on you"
4148,My face turned to stone when I heard the news
4149,When you decide to break the rules
4150,'Cause I just heard some real bad news
4151,People'll talk like it's old news
4152,I played it off and act like I already knew
4153,Let me ask you how long have you known dude
4154,You played it off and act like he's brand new
4155,"When you decide, to break the rules"
4156,'Cause I just heard some real bad news
4157,Real bad news
4158,"Oh, you just gon' keep another no you won't"
4159,"Oh, you just gon' keep it like you never knew"
4160,"Oh, you just gon' keep another love for you"
4161,"Oh, you just gon' keep it like you never knew"
4162,While I'm waiting on a dream that'll never come true
4163,"Oh, you just gon' keep it like you never knew"
4164,My face turned to stone when I heard the news
4165,What's on the news?
4166,Channel cruise
4167,I'm cold! (Yeah)
4168,"I'm cold! (Yeah, yeah)"
4169,"I got the right, to put up a fight"
4170,"But not quite, 'cause you cut off my light"
4171,"But my sight, is better tonight"
4172,"And I might, see you in my nightmare"
4173,"Ooh, how did you get there?"
4174,'Cause we were once a fairy tale
4175,"But this is farewell, yeah"
4176,"I got my life, and it's my only one"
4177,"I got the night, I'm running from the sun"
4178,"So good night, I'm headed out the door"
4179,"Door, door, door, door"
4180,"After tonight, there will be no return"
4181,"After tonight, I'm taking off on the road"
4182,I'm taking off on the road
4183,And that you know
4184,That you know
4185,Tell everybody that you know
4186,That I don't love you no more
4187,"And that's one thing that you know, that you know"
4188,"Okay, I'm back up on my grind"
4189,You do you and I'm just gon' do mine
4190,You do you 'cause I'm just gon' be fine
4191,"Okay, I got you out my mind"
4192,"And the night is young, the drinks is cold"
4193,"The stars is out, I'm ready to go"
4194,You always thought I was always wrong
4195,"Well, now you know"
4196,"Tell everybody, everybody that you know"
4197,Tell everybody that you know
4198,That I don't love you no more
4199,"And that's one thing that you know, that you know"
4200,"I got the right, to put up a fight"
4201,"But not quite, 'cause you cut off my light"
4202,"But my sight, is better tonight"
4203,"And I might, see you in my nightmare"
4204,"Ooh, how did you'd get there?"
4205,'Cause we were once a fairy tale
4206,"But this is farewell, yeah"
4207,"Baby girl I'm finished, I thought we were committed"
4208,"I thought we were cemented, I really thought we meant it"
4209,"But now we just repent it, and now we just resent it"
4210,"The clouds is in my vision, look how high that I be getting"
4211,"And it's all because of you, girl we through"
4212,You think your shit don't stank but you are Mrs. P-U
4213,And I don't see you with me no more
4214,"Now tell everybody that you know, that you know"
4215,That you know
4216,Tell everybody that you know
4217,That I don't love you no more
4218,"And that's one thing that you know, that you know"
4219,That you know
4220,Tell everybody that you know
4221,That I don't love you no more
4222,"And that's one thing that you know, that you know"
4223,"On lonely nights, I start to fade"
4224,Her love's a thousand miles away
4225,Memories made in the coldest winter
4226,"Goodbye my friend, will I ever love again?"
4227,Memories made in the coldest winter
4228,It's 4 a.m. and I can't sleep
4229,Her love is all that I can see
4230,Memories made in the coldest winter
4231,"Goodbye my friend, will I ever love again?"
4232,"Memories made in the coldest winter, winter, winter"
4233,"Goodbye my friend, will I ever love again?"
4234,If spring can take the snow away
4235,Can it melt away all our mistakes
4236,Memories made in the coldest winter
4237,"Goodbye my friend, I won't ever love again"
4238,Never again
4239,"Wise man say, wise man say"
4240,Wise man say
4241,You'll never figure out real love
4242,Never figure out real love
4243,You'll never figure out real love
4244,"It's so crazy, crazy-crazy"
4245,I got everything figured out
4246,But for some reason
4247,"I can never find what real love is about, no doubt"
4248,Everything in the world figured out
4249,But I can never seem to find what real love was about
4250,"Do you think I'd sacrifice, real life"
4251,"For all the fame, and flashing lights?"
4252,"Do you think I'd sacrifice, a real life"
4253,"For all the fame, and flashing lights?"
4254,There is no Gucci I can buy
4255,There is no Louis Vuitton to put on
4256,There is no YSL that they could sell
4257,"To get my heart out of this hell, and my mind out of this jail"
4258,There is no clothes that I could buy
4259,"That could turn, back in time"
4260,There is no vacation spot I could fly
4261,That could bring back a piece of real life
4262,"Real life, what does it feel like?"
4263,"I ask you tonight, I ask you tonight"
4264,What does it feel like? I ask you tonight
4265,To live a real life
4266,I just wanna be a real boy
4267,"They always say ""Kanye, he keeps it real boy"""
4268,"Pinocchio's story is, I just wanna be a real boy"
4269,"Pinocchio's story goes, to be a real boy"
4270,It's funny
4271,"Pinocchio lied, and that's what kept him from it"
4272,"I tell the truth, and I keep running"
4273,"It's like I'm lookin for something out there, tryna find something"
4274,"I turn on the TV, and see me, and see nothing"
4275,"What does it feel like, to live real life, to be real?"
4276,Not some facade on TV that no one can really feel
4277,Do you really have the stamina?
4278,"For everybody that sees you that say, ""Where's my camera?"""
4279,"For everybody that sees you to say, ""Sign a autograph"""
4280,For everybody that sees you cryin that say you oughta laugh
4281,You oughta laugh
4282,"I just wanna be a real boy, Pinocchio's story goes"
4283,"And there is no Gepetto, to guide me"
4284,"No one, right beside me"
4285,"The only one, was behind me"
4286,"I can't find her no more, I can't call her no more"
4287,I can't...
4288,The only one that come out on the tour and stays
4289,Back when I was livin' at home and this was all a big dream
4290,And the fame will be get got
4291,"And the day I moved to L.A., maybe that was all my fault"
4292,"All my fault to be a real boy, chasin' the American dream"
4293,"Chasin' everything we seen, up on the TV screen"
4294,"And when uh, the Benz was left"
4295,"And the clothes was left, and the hoes was left"
4296,"You talk the hoes to death, thinkin' the money that the-"
4297,You spend the dough to death
4298,"And tell me what be left, for a real boy!"
4299,"They say ""Kanye, you keep it too real boy"""
4300,"Perspective, and wise man say"
4301,"One day, you'll find your way"
4302,"The wise man say, you'll find your way"
4303,Wise man say
4304,Uhh.. uhh
4305,Good morning!
4306,"Wake up Mr. West, Mr. West"
4307,"Mr. Fresh, Mister, by himself he's so impressed"
4308,"I mean damn, did you even see the test?"
4309,"You got D's, muthafucka D's, Rosie Perez"
4310,And yer ass barely passed any and every class
4311,"Looking at every ass, cheated on every test"
4312,"I guess, this is my dissertation"
4313,"Homie this shit is basic, welcome to Graduation"
4314,Good morning!
4315,"Good morning, on this day we become legendary"
4316,Everything we dreamed of
4317,"I'm like the fly Malcolm X, buy any jeans necessary"
4318,Detroit Red cleaned up
4319,"From the streets to the league, from an eighth to a key"
4320,But you graduate when you make it up outta the streets
4321,"From the moments of pain, look how far we done came"
4322,"Haters saying you changed, now you doing your thang"
4323,Good morning!
4324,"Good morning, look at the valedictorian"
4325,Scared of the future while I hop in the DeLorean
4326,"Scared to face the world, complacent career student"
4327,"Some people graduate, but be still stupid"
4328,"They tell you read this, eat this, don't look around"
4329,"Just peep this, preach this, teach us, Jesus"
4330,"Okay look up now, they done stole yo' streetness"
4331,After all of that you received this
4332,Good morning!
4333,"Hustlers that's if you're still living, get on down"
4334,Every time that we hear them
4335,Good morning!
4336,"Hustlers that's if you're still living, get on down"
4337,Every time that we hear them
4338,Good morning!
4339,"Hustlers that's if you're still living, get on down"
4340,Every time that we hear them
4341,Good morning!
4342,"Hustlers that's if you're still living, get on down"
4343,Get on down
4344,"Get, get on down"
4345,Get on down
4346,"Get, get on down"
4347,Did you realize
4348,That you were a champion in their eyes?
4349,"Yes, I did"
4350,So I packed it up and brought it back to the crib
4351,"Just a little something, show you how we live"
4352,Everybody want it but it ain't that serious
4353,"Mhm, that's that shit"
4354,"So if you gon' do it, do it just like this"
4355,Did you realize
4356,That you were a champion in their eyes?
4357,You don't see just how wild the crowd is
4358,You don't see just how fly my style is
4359,I don't see why I need a stylist
4360,When I shop so much I can speak Italian
4361,"I don't know, I just want it better for my kids"
4362,And I ain't sayin' we was from the projects
4363,But every time I wanted layaway or a deposit
4364,"My dad'd say ""when you see clothes, close your eyelids"""
4365,We was sort of like Will Smith and his son
4366,"In the movie, I ain't talkin' 'bout the rich ones"
4367,"Cause every summer, he'd get some"
4368,Brand new harebrained scheme to get rich from
4369,And I don't know what he did for dough
4370,But he'd send me back to school with a new wardrobe
4371,Did you realize
4372,That you were a champion in their eyes?
4373,I think he did
4374,When he packed it up and brought it back to the crib
4375,"Just a little somethin', show you how we live"
4376,"Everything I wanted, man it seem so serious"
4377,"Mhm, that's that shit"
4378,"So if you gon' do it, do it just like this"
4379,Did you realize
4380,That you were a champion in their eyes?
4381,When it feel like living's harder than dyin'
4382,For me givin' up's way harder than tryin'
4383,Lauryn Hill said her heart was in Zion
4384,I wish her heart still was in rhymin'
4385,"'Cause who the kids gon' listen to, huh?"
4386,I guess me if it isn't you
4387,Last week I paid a visit to the institute
4388,They got the dropout keepin' kids in the school
4389,I guess I cleaned up my act like Prince'd do
4390,"If not for pleasure, then at least for the principle"
4391,"They got the CD, they got to see me"
4392,Drop gems like I dropped out of PE
4393,They used to feel invisible
4394,Now they know they invincible
4395,Did you realize
4396,That you were a champion in their eyes?
4397,This is the story of a champion
4398,Runners on their mark and they pop their guns
4399,"Stand up, stand up, here he comes"
4400,Tell me what it takes to be number one
4401,This is the story of a champion
4402,Runners on their mark and they pop their guns
4403,"Stand up, stand up, here he comes"
4404,Tell me what it takes to be number one
4405,Did you realize
4406,That you were a champion in their eyes?
4407,Yes I did
4408,So I packed it up and brought it back to the crib
4409,"Just a little somethin', show you how we live"
4410,"Everybody want it, but it ain't that serious"
4411,"Mhm, that's that shit"
4412,"So if you gon' do it, do it just like this... like this"
4413,Did you realize
4414,That you were a champion in their eyes?
4415,"Work it, make it, do it, makes us"
4416,"Harder, better, faster, stronger"
4417,N-now th-that that don't kill me
4418,Can only make me stronger
4419,I need you to hurry up now
4420,‘Cause I can't wait much longer
4421,I know I got to be right now
4422,‘Cause I can't get much wronger
4423,"Man, I've been waiting all night now"
4424,That's how long I been on ya
4425,"(Work it harder, make it better"
4426,"Do it faster, makes us stronger)"
4427,(I need you right now!)
4428,Let's get lost tonight
4429,You could be my black Kate Moss tonight
4430,"Play secretary, I'm the boss tonight"
4431,"And you don't give a fuck what they all say, right?"
4432,"Awesome, the Christian in Christian Dior"
4433,"Damn, they don't make 'em like this anymore"
4434,"I ask, ‘cause I'm not sure"
4435,Do anybody make real shit anymore?
4436,Bow in the presence of greatness
4437,‘Cause right now thou hast forsaken us
4438,You should be honored by my lateness
4439,That I would even show up to this fake shit
4440,"So go ahead, go nuts, go apeshit"
4441,"'Specially in my Pastellé, on my Bape shit"
4442,Act like you can't tell who made this
4443,"New Gospel, homie, take six"
4444,"And take this, haters!"
4445,N-now th-that that don't kill me
4446,Can only make me stronger
4447,I need you to hurry up now
4448,‘Cause I can't wait much longer
4449,I know I got to be right now
4450,‘Cause I can't get much wronger
4451,"Man, I've been waiting all night now"
4452,That's how long I been on ya
4453,"(Work it harder, make it better"
4454,"Do it faster, makes us stronger)"
4455,(I need you right now!)
4456,(I need you right now!) me likey
4457,I don't know if you got a man or not
4458,If you made plans or not
4459,If God put me in your plans or not
4460,"I'm trippin', this drink got me sayin' a lot"
4461,But I know that God put you in front of me
4462,So how the hell could you front on me?
4463,"There's a thousand you's, there's only one of me"
4464,"I'm trippin', I'm caught up in the moment, right?"
4465,‘Cause it's Louis Vuitton Don night
4466,So we gon' do everything that Kan like
4467,Heard they'd do anything for a Klondike
4468,"Well, I'd do anything for a blonde dyke"
4469,And she'll do anything for the limelight
4470,And we'll do anything when the time's right
4471,"Uh, baby, you're makin' it"
4472,"(Harder, better, faster, stronger)"
4473,N-now th-that that don't kill me
4474,Can only make me stronger
4475,I need you to hurry up now
4476,‘Cause I can't wait much longer
4477,I know I got to be right now
4478,‘Cause I can't get much wronger
4479,"Man, I've been waiting all night now"
4480,That's how long I been on ya
4481,"(Work it harder, make it better"
4482,"Do it faster, makes us stronger)"
4483,(I need you right now!)
4484,You know how long I've been on ya
4485,Since Prince was on Apollonia
4486,Since O.J. had Isotoners
4487,Don't act like I never told ya
4488,"Baby, you're makin' it"
4489,"(Harder, better, faster, stronger)"
4490,N-now th-that that don't kill me
4491,Can only make me stronger
4492,I need you to hurry up now
4493,‘Cause I can't wait much longer
4494,I know I got to be right now
4495,‘Cause I can't get much wronger
4496,"Man, I've been waiting all night now"
4497,That's how long I been on ya
4498,"(Work it harder, make it better"
4499,"Do it faster, makes us stronger)"
4500,(I need you right now!)
4501,Right now!
4502,"Work it harder, make it better"
4503,"Do it faster, makes us stronger"
4504,(I need you right now!)
4505,You know how long I've been on ya
4506,Since Prince was on Apollonia
4507,Since O.J. had Isotoners
4508,Don't act like I never told ya
4509,You know how long I've been on ya
4510,Since Prince was on Apollonia
4511,Since O.J. had Isotoners
4512,Don't act like I never told ya told ya told ya
4513,Never told ya…told ya told ya told ya
4514,Never over…Never over… Never over… Never over…
4515,"(Harder, better, faster, stronger)"
4516,"Work it harder, make it better"
4517,"Do it faster, makes us stronger"
4518,"More than ever, hour after—"
4519,Our work is never over
4520,"Work it harder, make it better"
4521,"Do it faster, makes us stronger"
4522,"More than ever, hour after—"
4523,Our work is never over
4524,"Work it harder, make it better"
4525,"Do it faster, makes us stronger"
4526,"More than ever, hour after—"
4527,Our work is never over
4528,"Work it harder, make it better"
4529,"Do it faster, makes us stronger"
4530,"More than ever, hour after—"
4531,Our work is never over
4532,Find your dreams come true
4533,And I wonder if you know
4534,"What it means, what it means"
4535,And I wonder if you know
4536,"What it means, what it means"
4537,And I wonder if you know
4538,What it means to find your dreams
4539,And I wonder
4540,I've been waiting on this my whole life
4541,(And I wonder)
4542,These dreams be waking me up at night
4543,(And I wonder)
4544,You say I think I'm never wrong
4545,(And I wonder)
4546,You know what? Maybe you're right
4547,A'ight?
4548,And I wonder if you know
4549,"What it means, what it means"
4550,And I wonder if you know
4551,What it means to find your dreams
4552,And I wonder
4553,You say he get on your fucking nerves
4554,(And I wonder)
4555,"You hope that he get what he deserves, word"
4556,(And I wonder)
4557,Do you even remember what the issue is?
4558,You just trying to find where the tissue is
4559,You can still be who you wish you is
4560,It ain't happen yet
4561,And that's what intuition is
4562,(And I wonder)
4563,When you hop back in the car
4564,Drive back to the crib
4565,Run back to their arms
4566,The smokescreens
4567,The chokes and the screams
4568,You ever wonder what it all really means?
4569,And I wonder if you know
4570,"What it means, what it means"
4571,And I wonder if you know
4572,What it means to find your dreams
4573,And I wonder
4574,And I'm back on my grind
4575,A psychic read my lifeline
4576,Told me in my lifetime
4577,My name would help light up the Chicago skyline
4578,And that's why I'm
4579,(And I wonder)
4580,"Seven o'clock, that's primetime"
4581,"Heaven'll watch, God calling from the hotlines"
4582,Why he keep giving me hot lines?
4583,"I'm a star, how could I not shine?"
4584,(And I wonder)
4585,How many ladies in the house?
4586,(If you know)
4587,How many ladies in the house without a spouse?
4588,(What it means)
4589,Something in your blouse got me feeling so aroused
4590,(What it means)
4591,What you about?
4592,(And I wonder)
4593,On that independent shit
4594,(If you know)
4595,Trade it all for a husband and some kids
4596,(What it means)
4597,You ever wonder what it all really mean?
4598,(To find your dreams come true)
4599,You wonder if you'll ever find your dreams?
4600,Like we always do at this time
4601,"I go for mine, I gots to shine"
4602,(Now throw yo hands up in the sky)
4603,"I, go, go for mine, I gots to shine"
4604,(Now throw yo hands up in the sky)
4605,"I'ma get on this TV momma, I'ma"
4606,I'ma put shit down
4607,"(Ayy) ayy (Ayy), ayy"
4608,"(Ayy) ayy (Ayy), I'm good"
4609,"Welcome to the good life, where niggas who sell D"
4610,Won't even get pulled over in they new V
4611,"The good life, let's go on a living spree"
4612,"Shit, they say the best things in life are free"
4613,"The good life, it feel like Atlanta"
4614,"It feel like L.A., it feel like Miami"
4615,"It feel like NY, summertime Chi"
4616,Ah! (Now throw yo hands up in the sky)
4617,So I roll through good
4618,"Y'all pop the trunk, I pop the hood, Ferrari"
4619,And she got the goods
4620,"And she got that ass, I got to look, sorry!"
4621,"Yo, it's got to be 'cause I'm seasoned"
4622,"Haters give me them salty looks, Lawry's"
4623,"50 told me, ""Go 'head, switch the style up"
4624,"And if they hate then let 'em hate and watch the money pile up"""
4625,The good life
4626,"Now I, I go for mine, I got to shine"
4627,(Now throw yo hands up in the sky)
4628,"Now I, I go for mine, I got to shine"
4629,(Now throw yo hands up in the sky)
4630,"(I'ma get on this TV momma, I'ma)"
4631,(I'ma put shit down)
4632,"Ayy (Ayy), ayy (Ayy)"
4633,"Ayy (Ayy), ayy (I'm good)"
4634,Welcome to the good life!
4635,Where we like the girls who ain't on TV
4636,'Cause they got mo' (Ass than the models)
4637,"The good life, so keep it comin' with the bottles"
4638,'Cause she feel booze like she bombed at Apollo
4639,"The good life, it feel like Houston"
4640,"It feel like Philly, it feel like D.C"
4641,It feel like VA or the Bay or Yay
4642,"Ayy, this is the good life (Welcome to the good life)"
4643,Homey tell me what's good
4644,Why I only got a problem when you in the hood (Welcome to the good life)
4645,Like I'm new in the hood
4646,"The only thing I wish, I wish a nigga would (Welcome to the good life!)"
4647,He probably think he could
4648,"But, but, I don't think he should (Welcome to the good life)"
4649,"50 told me, ""Go 'head, switch the style up"
4650,"And if they hate then let 'em hate and watch the money pile up"""
4651,The good life
4652,"Now I, I go for mine, I gots to shine"
4653,(Now throw yo hands up in the sky)
4654,"Now I, I go for mine, I gots to shine"
4655,(Now throw yo hands up in the sky)
4656,"I'ma get on the TV momma, I'ma"
4657,I'ma put shit down
4658,"(Ayy) ayy (Ayy), ayy"
4659,"(Ayy) ayy (Ayy), I'm good"
4660,"Have you ever popped champagne on a plane, while gettin' some brain"
4661,"Whipped it out, she said ""I never seen Snakes on a Plane"""
4662,Whether you broke or rich you gotta get this
4663,"Havin' money's not everything, not havin' it is"
4664,"I was splurgin' on Tryst, but when I get my card back"
4665,"Activated, I'm back to Vegas"
4666,'Cause (The good life) I always had a passion for flashin'
4667,"Befo' I had it, I closed my eyes and imagined the good life"
4668,Better than the life I lived
4669,When I thought that I was gonna go crazy
4670,And now my grandmomma
4671,"Ain't the only girl callin me ""baby"""
4672,If you feelin' me now
4673,"Then put yo hands up in the sky, and let me hear you say"
4674,"Hey, hey, ooh I'm good!"
4675,"La, la, la la (Yeah)"
4676,Wait 'til I get my money right
4677,I had a dream I could buy my way to heaven
4678,"When I awoke, I spent that on a necklace"
4679,I told God I'd be back in a second
4680,Man it's so hard not to act reckless
4681,"To whom much is given, much is tested"
4682,Get arrested guess until he get the message
4683,"I feel the pressure, under more scrutiny"
4684,And what I do? Act more stupidly
4685,"Bought more jewelry, more Louis V"
4686,My mama couldn't get through to me
4687,"The drama, people suing me"
4688,I'm on TV talking like it's just you and me
4689,I'm just saying how I feel man
4690,"I ain't one of the Cosby's, I ain't go to Hillman"
4691,I guess the money should've changed him
4692,I guess I should've forgot where I came from
4693,"La, la, la la"
4694,Wait 'til I get my money right
4695,"La, la, la la"
4696,"Then you can't tell me nothing, right?"
4697,"Excuse me, was you saying something?"
4698,"Uh uh, you can't tell me nothing"
4699,You can't tell me nothing
4700,"Uh uh, you can't tell me nothing"
4701,Let up the suicide doors
4702,"This is my life homie, you decide yours"
4703,I know that Jesus died for us
4704,But I couldn't tell ya who decide wars
4705,So I parallel double parked that motherfucker sideways
4706,"Old folks talking 'bout, ""Back in my day"""
4707,But homie this is my day
4708,"Class started 2 hours ago, oh am I late?"
4709,"No, I already graduated"
4710,And you can live through anything if Magic made it
4711,They say I talk with so much emphasis
4712,Ooh they so sensitive
4713,Don't ever fix your lips like collagen
4714,And say something when you gon' end up apolog'ing
4715,"Let me know if it's a problem then, aight man, holla then"
4716,"La, la, la la"
4717,Wait 'til I get my money right
4718,"La, la, la la"
4719,"Then you can't tell me nothing, right?"
4720,"Excuse me, was you saying something?"
4721,"Uh uh, you can't tell me nothing"
4722,You can't tell me nothing
4723,"Uh uh, you can't tell me nothing"
4724,"Let the champagne splash, let that man get cash"
4725,Let that man get past
4726,He don't even stop to get gas
4727,"If he can move through the rumors, he can drive off of fumes 'cause"
4728,How he move in a room full of no's?
4729,How he stay faithful in a room full of hoes?
4730,"Must be the pharaohs, he in tune with his soul"
4731,So when he buried in a tomb full of gold
4732,"Treasure, what's your pleasure?"
4733,"Life is a, UH, depending how you dress her"
4734,"So if the Devil wear Prada, Adam Eve wear nada"
4735,I'm in between but way more fresher
4736,"With way less effort, 'cause when you try hard"
4737,That's when you die hard
4738,Your homies looking like why God
4739,"When they reminisce over you, my God"
4740,"La, la, la la"
4741,Wait 'til I get my money right
4742,"La, la, la la"
4743,"Then you can't tell me nothing, right?"
4744,"Excuse me, was you saying something?"
4745,"Uh uh, you can't tell me nothing"
4746,You can't tell me nothing
4747,"Uh uh, you can't tell me nothing"
4748,"La, la, la la"
4749,Wait 'til I get my money right
4750,"La, la, la la"
4751,"Then you can't tell me nothing, right?"
4752,"(I'm serious nigga, I got money)"
4753,"It's what ya all been waitin' fo', ain't it?"
4754,"What people pay paper fo', damn it"
4755,"They can't stand it, they want somethin' new"
4756,"So let's get reacquainted, became the hood favorite"
4757,"I can't even explain it, I surprise myself too"
4758,"Life of a Don, lights keep glowin'"
4759,Comin' in the club wit' that fresh shit on
4760,"Wit' somethin' crazy on my arm, uh-huh-hum"
4761,"And here's another hit, Barry Bonds"
4762,"We outta here, baby! We outta here, baby!"
4763,"We outta here, baby!"
4764,"Dude! Fresh off the plane – Konnichiwa, bitches!"
4765,"Turn around another plane, my passport on pivot"
4766,"Ask for it, I did it – that asshole done did it!"
4767,"Talked it then he lived it, spit it then he shit it"
4768,"I don't need writ–ears, I might bounce ideas"
4769,But only I could come up with some shit like this
4770,I done played the underdog my whole career
4771,"I've been a very good sport, haven't I, this year?"
4772,"They say ""He goin' crazy and we seen this befo'"""
4773,But I'm doin' pretty good as far as geniuses go
4774,And I'm doin' pretty hood in my pink polo
4775,"Nigga, please, how you gon' say I ain't no Lo-head?"
4776,'Cause my Dior got me more model head?
4777,"I'm insulted, you should go 'head"
4778,And bow so hard till your knees hit yo' forehead
4779,And the flow just hit code red
4780,"Top five MCs, you ain't gotta remind me"
4781,"Top five MCs, you gotta rewind me"
4782,"I'm high up on the line, you could get behind me"
4783,"But my head's so big, you can't sit behind me"
4784,"Life of a Don, lights keep glowin'"
4785,Comin' in the club wit' that fresh shit on
4786,"Wit' somethin' crazy on my arm, uh-huh-hum"
4787,"And here's another hit, Barry Bonds"
4788,"Yeah, yeah, we outta here, baby!"
4789,"What? What? We outta here, baby!"
4790,"Ayy, Mr. West, we so outta here, baby!"
4791,"And me? I'm Mr. Weezy Baby, yeah!"
4792,"I'm so bright, not shady"
