line_number,lyric_line
338,"I can feel it when I write, point of livin' in the right"
339,"If they only see the wrongs, never listen to the songs"
340,"Just to listen is a fight, but you booked me for the fight"
341,It's so hard to get along if they only see the slight
342,From the love of religion
343,What have you been hearin' from the Christians?
344,They'll be the first one to judge me
345,Make it seem like nobody love me
346,I'm not tryna lead you to Visas
347,But if I try to lead you to Jesus
348,We get called halfway believers
349,Only halfway read Ephesians
350,"Only if they knew what I knew, uh"
351,I was never new 'til I knew of
352,"True and living God, Yeshua"
353,The true and living God
354,(Somebody pray for me)
355,Hand 'em
356,"Hands up high, hands on, hands on"
357,"Hands on, hands up"
358,"In your face, the reason"
359,"Hands on, yeah, hands on"
360,I deserve all the criticism you got
361,"If that's all the love you have, that's all you got"
362,"To sing of change, you think I'm joking"
363,"To praise His name, you ask what I'm smoking"
364,"Yes, I understand your reluctancy, yeah"
365,"But I have a request, you see"
366,"Don't throw me up, lay your hands on me"
367,"Please, pray for me"
368,Hold myself on death
369,"Hold it down, all fallen down"
370,Somebody pray for me
371,Hand 'em
372,"Hands up high, hands on, hands on"
373,"Hands on, hands up"
374,"In your face, the reason"
375,"Hands on, yeah, hands on"
376,"Oh, oh, oh, oh, oh, oh"
377,"Oh, oh, oh, oh-oh, oh, oh"
378,"Oh, oh, oh, oh, oh, oh"
379,"Oh, oh, oh, oh-oh, oh, oh"
380,Use this gospel for protection
381,It's a hard road to Heaven
382,We call on Your blessings
383,"In the Father, we put our faith"
384,King of the kingdom
385,Our demons are tremblin'
386,Holy angels defendin'
387,"In the Father, we put our faith"
388,"Oh, oh, oh, oh, oh, oh"
389,"Oh, oh, oh, oh-oh, oh, oh"
390,How could He not be the greatest?
391,"In my bed, under covers when undercovers had raided"
392,My presence is happy belated
393,"Fashionably late, I'm just glad that you made it"
394,"The best is yet to come, I'm just glad that you waited"
395,They all say they real 'til it's time to appraise it
396,"I seen them come and go, you only the latest"
397,But who am I to judge? I'm crooked as Vegas
398,Use this gospel for protection
399,It's a hard road to Heaven
400,We call on Your blessings
401,"In the Father, we put our faith"
402,King of the kingdom
403,Our demons are tremblin'
404,Holy angels defendin'
405,"In the Father, we put our faith"
406,"A lot of damaged souls, I done damaged those"
407,"And in my arrogance, took a camera pose"
408,Caught with a trunk of Barry Manilows
409,They sing a different tune when the slammer close
410,From the concrete grew a rose
411,"They give you Wraith talk, I give you faith talk"
412,"Blindfolded on this road, watch me faith walk"
413,Just hold on to your brother when his faith lost
414,"Oh, oh, oh (Work, work, work, work)"
415,"Oh-oh, oh, oh (Work, work, work, work)"
416,"Oh, oh, oh (Work, work, work, work)"
